val_tag;Feedrate;file;width;height;perimeter;area;centroid_x;centroid_y;svg_viewBox_x;svg_viewBox_y;svg_viewBox_w;svg_viewBox_h;svg_width_attr;svg_height_attr;svg_width_mm;svg_height_mm;mm_per_user_unit;geom_bbox_xmin;geom_bbox_ymin;geom_bbox_xmax;geom_bbox_ymax;geom_width;geom_height;margin_left;margin_right;margin_top;margin_bottom;margin_left_pct_of_max;margin_right_pct_of_max;margin_top_pct_of_max;margin_bottom_pct_of_max;rep
val-500p000;500;slice_speed_val-500p000_rep-1.svg;13,38228807;4,301361777;41,83746881;0,000795241;-0,526999475;-2,775238112;-7,70842;-4,97687;14,7251;5,6462;;;;;;-7,035894726;-4,304401267;6,346393348;-0,003039491;13,38228807;4,301361777;0,672525274;0,670286652;0,672468733;0,672369491;5,025487943;5,008759698;5,025065436;5,024323844;1
val-500p000;500;slice_speed_val-500p000_rep-2.svg;13,39387947;4,270099527;41,45003358;0,000689872;-0,526999475;-2,775238112;-7,6717;-4,86357;14,7283;5,53304;;;;;;-7,002201589;-4,193595382;6,386578828;-0,001022227;13,38878042;4,192573155;0,669498411;0,670021172;0,669974618;0,670492227;5,000443583;5,004348054;5,004000342;5,007866337;2
val-500p000;500;slice_speed_val-500p000_rep-3.svg;13,40457322;4,449146316;41,15335686;0,000146281;-0,526999475;-2,775238112;-7,63731;-4,89958;14,75;5,57004;;;;;;-6,965905111;-4,227432048;6,434368726;-0,000533964;13,40027384;4,226898084;0,671404889;0,678321274;0,672147952;0,670993964;5,010381855;5,061995612;5,015926987;5,007315317;3
val-500p000;500;slice_speed_val-500p000_rep-4.svg;13,42554139;4,467904023;41,16283515;9,94E-05;-0,526999475;-2,775238112;-7,72402;-4,89124;14,7855;5,5633;;;;;;-7,05032322;-4,218020269;6,385953087;-0,000330933;13,43627631;4,217689336;0,67369678;0,675526913;0,673219731;0,672390933;5,014014037;5,027634872;5,010463581;5,004295222;4
val-500p000;500;slice_speed_val-500p000_rep-5.svg;13,45979758;4,316825468;42,88513664;0,000636926;-0,526999475;-2,775238112;-7,66952;-4,86116;14,8249;5,53502;;;;;;-6,995521116;-4,184208185;6,478684641;-0,001750455;13,47420576;4,18245773;0,673998884;0,676695359;0,676951815;0,675610455;5,002141845;5,022153967;5,024057275;5,014102258;5
val-750p000;750;slice_speed_val-750p000_rep-1.svg;10,76192066;3,724485248;50,62572281;69,83920773;-0,206375085;-1,719951279;-6,08827;-4,27806;11,843;4,80188;;;;;;-5,546264162;-3,739368384;5,2156565;-0,014883136;10,76192066;3,724485248;0,542005838;0,5390735;0,538691616;0,538703136;5,036329988;5,009082642;5,005534168;5,005641217;1
val-750p000;750;slice_speed_val-750p000_rep-2.svg;4,593223404;10,59919183;45,18335168;1,01E-05;-0,206375085;-1,719951279;-6,057;-4,33483;11,7486;4,86886;;;;;;-5,520760997;-3,798627971;5,157052159;-0,006204482;10,67781316;3,792423489;0,536239003;0,534547841;0,536202029;0,540234482;5,021992755;5,006154665;5,021646486;5,059411271;2
val-750p000;750;slice_speed_val-750p000_rep-3.svg;7,292335551;9,254865085;40,7082347;0,000222406;-0,206375085;-1,719951279;-6,10261;-4,25122;11,7033;4,78319;;;;;;-5,570237955;-3,71841447;5,065948526;-0,001867831;10,63618648;3,716546639;0,532372045;0,534741474;0,53280553;0,533837831;5,005290624;5,027567683;5,009366198;5,019071751;3
val-750p000;750;slice_speed_val-750p000_rep-4.svg;5,841727124;10,13481708;40,55496791;0,001040588;-0,206375085;-1,719951279;-6,04332;-4,31688;11,7352;4,8503;;;;;;-5,506622296;-3,782567392;5,158105975;-0,001078774;10,66472827;3,781488618;0,536697704;0,533774025;0,534312608;0,534498774;5,032455496;5,005041021;5,010091154;5,011836782;4
val-750p000;750;slice_speed_val-750p000_rep-5.svg;8,115668108;8,769213667;45,59864794;0,001271056;-0,206375085;-1,719951279;-6,02582;-4,27871;11,7758;4,81397;;;;;;-5,490278895;-3,742975484;5,211727182;-0,001279444;10,70200608;3,74169604;0,535541105;0,538252818;0,535734516;0,536539444;5,004118865;5,029457227;5,005926104;5,013447386;5
